1_ortho	4_cgram	11_infover	5_genre
c PRO:dem na na
sommes	VER	imp:pre:1p;ind:pre:1p;sub:pre:2s;	na
étant	VER	par:pre;	na
étaient	VER	ind:imp:3p;ind:pre:3p;sub:pre:3p;	na
étais	VER	ind:imp:1s;ind:imp:2s;	na
êtes	VER	imp:pre:2p;ind:pre:2p;	na
être	VER	inf;;inf;;inf;;	na
était	VER	ind:imp:3s;	na
soit	VER	sub:pre:3s;	na
fus	VER	ind:pas:1s;ind:pas:2s;	na
suis	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	na
fusse	VER	sub:imp:1s;	na
étiez	VER	ind:imp:2p;	na
fussent	VER	sub:imp:3p;	na
fusses	VER	sub:imp:2s;	na
étions	VER	ind:imp:1p;	na
fussions	VER	sub:imp:1p;	na
furent	VER	ind:pas:3p;	na
sont	VER	ind:pre:3p;	na
es	VER	ind:pre:2s;	na
seront	VER	ind:fut:3p;	na
serons	VER	ind:fut:1p;	na
été	VER	par:pas;	m
serions	VER	cnd:pre:1p;	na
sera	VER	ind:fut:3s;	na
seriez	VER	cnd:pre:2p;	na
serez	VER	ind:fut:2p;	na
soyez	VER	imp:pre:2p;sub:pre:2p;	na
soyons	VER	imp:pre:1p;sub:pre:1p;	na
seras	VER	ind:fut:2s;	na
serait	VER	cnd:pre:3s;	na
serais	VER	cnd:pre:1s;cnd:pre:2s;	na
serai	VER	ind:fut:1s;	na
seraient	VER	cnd:pre:3p;	na
fut	VER	ind:pas:3s;	na
fussiez	VER	sub:imp:2p;	na
fût	VER	sub:imp:3s;	na
est	VER	ind:pre:3s;	na
fûtes	VER	ind:pas:2p;	na
sois	VER	imp:pre:2s;sub:pre:1s;sub:pre:2s;	na
soient	VER	sub:pre:3p;	na
fûmes	VER	ind:pas:1p;	na
je	PRO:per	na	na
de	PRE	na	na
n'	ADV	na	na
n	ADV	na	na
ne	ADV	na	na
ont	AUX	ind:pre:3p;	na
as	AUX	ind:pre:2s;	na
ayant	AUX	par:pre;	na
aurions	AUX	cnd:pre:1p;	na
aurons	AUX	ind:fut:1p;	na
ai	AUX	ind:pre:1s;	na
auront	AUX	ind:fut:3p;	na
ayez	AUX	sub:pre:2p;	na
eût	AUX	sub:imp:3s;	na
auriez	AUX	cnd:pre:2p;	na
aura	AUX	ind:fut:3s;	na
eûmes	AUX	ind:pas:1p;	na
avons	AUX	ind:pre:1p;	na
aie	AUX	sub:pre:1s;	na
aient	AUX	sub:pre:3p;	na
aies	AUX	sub:pre:2s;	na
aurai	AUX	ind:fut:1s;	na
eut	AUX	ind:pas:3s;	na
s	AUX	ind:pre:3s;	na
eussé	AUX	sub:imp:1s;	na
